FX,Time,Open,High,Low,Close,Volume
AUD_USD,2005-01-01,0.7823,0.7828,0.7806,0.7806,58
AUD_USD,2005-01-02,0.7807,0.7839,0.77265,0.77835,8222
AUD_USD,2005-01-03,0.77835,0.78015,0.7636,0.7649,22678
AUD_USD,2005-01-04,0.765,0.7684,0.7594,0.7648,21364
AUD_USD,2005-01-05,0.7648,0.7651,0.7577,0.7608,17482
AUD_USD,2005-01-06,0.761,0.7668,0.754,0.7575,16525
AUD_USD,2005-01-08,0.757,0.7576,0.7555,0.7575,176
AUD_USD,2005-01-09,0.7575,0.761,0.7566,0.7575,14884
AUD_USD,2005-01-10,0.7575,0.7643,0.7574,0.7616,17790
AUD_USD,2005-01-11,0.7616,0.7698,0.7551,0.7669,19686
AUD_USD,2005-01-12,0.7669,0.7687,0.7643,0.7655,17117
AUD_USD,2005-01-13,0.7655,0.7658,0.7567,0.7588,21784
AUD_USD,2005-01-15,0.759,0.7601,0.759,0.7595,73
AUD_USD,2005-01-16,0.7595,0.762,0.7574,0.7579,10323
AUD_USD,2005-01-17,0.7578,0.7589,0.7505,0.7554,20941
AUD_USD,2005-01-18,0.7554,0.7653,0.7536,0.7606,20947
AUD_USD,2005-01-19,0.7606,0.7623,0.7572,0.7587,18379
AUD_USD,2005-01-20,0.7587,0.7716,0.7572,0.7694,18437
AUD_USD,2005-01-21,0.7693,0.7695,0.7693,0.7694,52
AUD_USD,2005-01-22,0.7687,0.7692,0.7682,0.7691,190
AUD_USD,2005-01-23,0.769,0.7719,0.7683,0.7702,14609
AUD_USD,2005-01-24,0.7702,0.7728,0.7629,0.7653,19303
AUD_USD,2005-01-25,0.7653,0.7762,0.7649,0.7751,19231
AUD_USD,2005-01-26,0.775,0.778,0.7731,0.7774,20267
AUD_USD,2005-01-27,0.7774,0.7803,0.771,0.775,19371
AUD_USD,2005-01-28,0.7749,0.7751,0.7749,0.775,85
AUD_USD,2005-01-29,0.7743,0.7744,0.7733,0.7738,112
AUD_USD,2005-01-30,0.7737,0.7766,0.7719,0.7757,19260
AUD_USD,2005-01-31,0.7757,0.7764,0.7697,0.774,19762
AUD_USD,2005-02-01,0.774,0.7789,0.77205,0.7782,20169
AUD_USD,2005-02-02,0.7782,0.7785,0.7674,0.7708,22192
AUD_USD,2005-02-03,0.7707,0.7759,0.7682,0.7704,22139
AUD_USD,2005-02-04,0.7705,0.7705,0.7703,0.7704,98
AUD_USD,2005-02-05,0.77,0.77,0.7683,0.7688,280
AUD_USD,2005-02-06,0.7689,0.7738,0.7665,0.7674,21012
AUD_USD,2005-02-07,0.7674,0.768,0.7613,0.7664,20584
AUD_USD,2005-02-08,0.7664,0.7713,0.7631,0.7707,19141
AUD_USD,2005-02-09,0.7707,0.7839,0.7699,0.7832,23527
AUD_USD,2005-02-10,0.7832,0.7864,0.781,0.786,17296
AUD_USD,2005-02-11,0.786,0.786,0.786,0.786,1
AUD_USD,2005-02-12,0.785,0.7858,0.785,0.7858,92
AUD_USD,2005-02-13,0.7858,0.7889,0.7846,0.7879,15293
AUD_USD,2005-02-14,0.7879,0.7883,0.7825,0.7875,21184
AUD_USD,2005-02-15,0.7875,0.7877,0.7788,0.7845,22703
AUD_USD,2005-02-16,0.7845,0.7894,0.7833,0.7879,17954
AUD_USD,2005-02-17,0.788,0.7898,0.783,0.7885,18441
AUD_USD,2005-02-18,0.7884,0.7884,0.7884,0.7884,1
AUD_USD,2005-02-19,0.7885,0.7908,0.7885,0.7889,604
AUD_USD,2005-02-20,0.7888,0.7902,0.7861,0.7898,11889
AUD_USD,2005-02-21,0.7898,0.7959,0.7867,0.7947,26656
AUD_USD,2005-02-22,0.7947,0.795,0.7846,0.7862,23990
AUD_USD,2005-02-23,0.7863,0.7898,0.7844,0.7866,22678
AUD_USD,2005-02-24,0.7866,0.7884,0.7807,0.7864,22330
AUD_USD,2005-02-26,0.7862,0.7869,0.786,0.7869,78
AUD_USD,2005-02-27,0.7868,0.7945,0.7858,0.7919,19544
AUD_USD,2005-02-28,0.7919,0.7933,0.7832,0.78725,24779
AUD_USD,2005-03-01,0.78725,0.7886,0.7772,0.7831,28235
AUD_USD,2005-03-02,0.7831,0.7852,0.7802,0.783,22223
