FX,Time,Open,High,Low,Close,Volume
EUR_USD,2002-05-06,0.91535,0.91535,0.91535,0.91535,1
EUR_USD,2002-05-07,0.90435,0.90435,0.90435,0.90435,1
EUR_USD,2002-05-08,0.90935,0.90935,0.90935,0.90935,1
EUR_USD,2002-05-09,0.914,0.914,0.914,0.914,1
EUR_USD,2002-05-10,0.9141,0.9141,0.9141,0.9141,1
EUR_USD,2002-05-12,0.91155,0.91155,0.91155,0.91155,1
EUR_USD,2002-05-13,0.90275,0.90275,0.90275,0.90275,1
EUR_USD,2002-05-14,0.91255,0.91255,0.91255,0.91255,1
EUR_USD,2002-05-15,0.91195,0.91195,0.91195,0.91195,1
EUR_USD,2002-05-16,0.9209,0.9209,0.9209,0.9209,1
EUR_USD,2002-05-18,0.9201,0.9201,0.9201,0.9201,1
EUR_USD,2002-05-19,0.92095,0.92095,0.92095,0.92095,1
EUR_USD,2002-05-20,0.91985,0.91985,0.91985,0.91985,1
EUR_USD,2002-05-21,0.92575,0.92575,0.92575,0.92575,1
EUR_USD,2002-05-22,0.92145,0.92145,0.92145,0.92145,1
EUR_USD,2002-05-23,0.921,0.921,0.921,0.921,1
EUR_USD,2002-05-24,0.9211,0.9211,0.9211,0.9211,1
EUR_USD,2002-05-26,0.9209,0.9209,0.9209,0.9209,1
EUR_USD,2002-05-27,0.92875,0.92875,0.92875,0.92875,1
EUR_USD,2002-05-28,0.93545,0.93545,0.93545,0.93545,1
EUR_USD,2002-05-29,0.93705,0.93705,0.93705,0.93705,1
EUR_USD,2002-05-30,0.9339,0.9339,0.9339,0.9339,1
EUR_USD,2002-06-01,0.9329,0.9329,0.9329,0.9329,1
EUR_USD,2002-06-02,0.94105,0.94105,0.94105,0.94105,1
EUR_USD,2002-06-03,0.93935,0.93935,0.93935,0.93935,1
EUR_USD,2002-06-04,0.93935,0.93935,0.93935,0.93935,1
EUR_USD,2002-06-05,0.94765,0.94765,0.94765,0.94765,1
EUR_USD,2002-06-06,0.944,0.944,0.944,0.944,1
EUR_USD,2002-06-08,0.9432,0.9432,0.9432,0.9432,1
EUR_USD,2002-06-09,0.94455,0.94455,0.94455,0.94455,1
EUR_USD,2002-06-10,0.94825,0.94825,0.94825,0.94825,1
EUR_USD,2002-06-11,0.94395,0.94395,0.94395,0.94395,1
EUR_USD,2002-06-12,0.94345,0.94345,0.94345,0.94345,1
EUR_USD,2002-06-13,0.9456,0.9456,0.9456,0.9456,1
EUR_USD,2002-06-15,0.9453,0.9453,0.9453,0.9453,1
EUR_USD,2002-06-16,0.94445,0.94445,0.94445,0.94445,1
EUR_USD,2002-06-17,0.95185,0.95185,0.95185,0.95185,1
EUR_USD,2002-06-18,0.95745,0.95745,0.95745,0.95745,1
EUR_USD,2002-06-19,0.965,0.965,0.965,0.965,1
EUR_USD,2002-06-20,0.9711,0.9711,0.9711,0.9711,1
EUR_USD,2002-06-21,0.9706,0.9706,0.9706,0.9706,1
EUR_USD,2002-06-23,0.97045,0.97045,0.97045,0.97045,1
EUR_USD,2002-06-24,0.97935,0.97935,0.97935,0.97935,1
EUR_USD,2002-06-25,0.9806,0.9806,0.9806,0.9806,1
EUR_USD,2002-06-26,0.98865,0.98865,0.98865,0.98865,1
EUR_USD,2002-06-27,0.9919,0.9919,0.9919,0.9919,1
EUR_USD,2002-06-29,0.9915,0.9915,0.9915,0.9915,1
EUR_USD,2002-06-30,0.9911,0.9911,0.9911,0.9911,1
EUR_USD,2002-07-01,0.98635,0.98635,0.98635,0.98635,1
EUR_USD,2002-07-02,0.98065,0.98065,0.98065,0.98065,1
EUR_USD,2002-07-03,0.97945,0.97945,0.97945,0.97945,1
EUR_USD,2002-07-04,0.9731,0.9731,0.9731,0.9731,1
EUR_USD,2002-07-06,0.9746,0.9746,0.9746,0.9746,1
EUR_USD,2002-07-07,0.99075,0.99075,0.99075,0.99075,1
EUR_USD,2002-07-08,0.99355,0.99355,0.99355,0.99355,1
EUR_USD,2002-07-09,0.98855,0.98855,0.98855,0.98855,1
EUR_USD,2002-07-10,0.98915,0.98915,0.98915,0.98915,1
EUR_USD,2002-07-11,0.9915,0.9915,0.9915,0.9915,1
EUR_USD,2002-07-13,0.9912,0.9912,0.9912,0.9912,1
