FX,Time,Open,High,Low,Close,Volume
EUR_USD,2015-01-01,1.21057,1.21076,1.2001,1.200195,24034
EUR_USD,2015-01-04,1.195495,1.19764,1.18734,1.19329,31915
EUR_USD,2015-01-05,1.193355,1.19689,1.18844,1.18902,31017
EUR_USD,2015-01-06,1.18902,1.18964,1.1802,1.183915,38526
EUR_USD,2015-01-07,1.1838,1.18477,1.17543,1.17927,25982
EUR_USD,2015-01-08,1.17927,1.1846,1.17624,1.184125,37088
EUR_USD,2015-01-11,1.18486,1.1871,1.17864,1.18336,24938
EUR_USD,2015-01-12,1.183285,1.18596,1.17529,1.177235,29766
EUR_USD,2015-01-13,1.177235,1.18465,1.17276,1.178905,39917
EUR_USD,2015-01-14,1.178755,1.17932,1.15678,1.16332,123050
EUR_USD,2015-01-15,1.163315,1.1649,1.14601,1.15679,66357
EUR_USD,2015-01-18,1.155255,1.1639,1.15516,1.16062,27943
EUR_USD,2015-01-19,1.16045,1.16156,1.15406,1.1551,26910
EUR_USD,2015-01-20,1.15542,1.16804,1.15414,1.161085,43207
EUR_USD,2015-01-21,1.16108,1.16526,1.13158,1.13662,73162
EUR_USD,2015-01-22,1.13662,1.13732,1.11144,1.12064,70664
EUR_USD,2015-01-25,1.115295,1.12958,1.10982,1.12378,52118
EUR_USD,2015-01-26,1.124075,1.14228,1.1224,1.13813,53808
EUR_USD,2015-01-27,1.13813,1.13833,1.12764,1.12874,50553
EUR_USD,2015-01-28,1.128955,1.13679,1.12618,1.131985,42088
EUR_USD,2015-01-29,1.131815,1.13638,1.12787,1.12853,44803
EUR_USD,2015-02-01,1.13121,1.1362,1.12926,1.13409,35978
EUR_USD,2015-02-02,1.134255,1.15342,1.13128,1.14788,49540
EUR_USD,2015-02-03,1.147725,1.1485,1.13156,1.1345,43945
EUR_USD,2015-02-04,1.1345,1.14988,1.13041,1.147765,45717
EUR_USD,2015-02-05,1.14778,1.14862,1.13118,1.131695,39103
EUR_USD,2015-02-08,1.129675,1.13593,1.12704,1.1325,29989
EUR_USD,2015-02-09,1.1325,1.13455,1.12731,1.13222,33729
EUR_USD,2015-02-10,1.13219,1.13476,1.12798,1.13364,30179
EUR_USD,2015-02-11,1.13353,1.14232,1.13021,1.140245,45816
EUR_USD,2015-02-12,1.140245,1.14433,1.13796,1.13915,29084
EUR_USD,2015-02-15,1.13999,1.14291,1.13196,1.13544,21872
EUR_USD,2015-02-16,1.13554,1.14492,1.1322,1.14111,32597
EUR_USD,2015-02-17,1.1412,1.14162,1.13342,1.13967,31899
EUR_USD,2015-02-18,1.13967,1.14501,1.13556,1.13677,29083
EUR_USD,2015-02-19,1.13678,1.14302,1.12792,1.137865,53475
EUR_USD,2015-02-22,1.139445,1.13967,1.12953,1.13347,25857
EUR_USD,2015-02-23,1.13377,1.13582,1.12886,1.133955,34997
EUR_USD,2015-02-24,1.13421,1.1389,1.13358,1.13611,25527
EUR_USD,2015-02-25,1.13611,1.13798,1.11838,1.11987,35467
EUR_USD,2015-02-26,1.11987,1.12452,1.11762,1.119675,35406
EUR_USD,2015-03-01,1.118265,1.12404,1.11602,1.11836,22632
EUR_USD,2015-03-02,1.11821,1.12174,1.11548,1.117665,20682
EUR_USD,2015-03-03,1.11767,1.11851,1.10617,1.10791,29684
EUR_USD,2015-03-04,1.10775,1.1115,1.09874,1.10298,75678
EUR_USD,2015-03-05,1.10298,1.1033,1.08408,1.084355,100122
EUR_USD,2015-03-08,1.08334,1.09065,1.08228,1.085205,70536
EUR_USD,2015-03-09,1.08506,1.08558,1.06928,1.069835,118512
EUR_USD,2015-03-10,1.06962,1.0717,1.05112,1.05472,132624
EUR_USD,2015-03-11,1.05483,1.0684,1.04945,1.06356,126545
EUR_USD,2015-03-12,1.0634,1.0635,1.04625,1.0496,108934
EUR_USD,2015-03-15,1.047035,1.06195,1.04696,1.05694,89599
EUR_USD,2015-03-16,1.05674,1.0651,1.05514,1.05974,88492
EUR_USD,2015-03-17,1.05906,1.105,1.058,1.086505,139399
EUR_USD,2015-03-18,1.08666,1.09198,1.06132,1.065945,154206
EUR_USD,2015-03-19,1.06575,1.08826,1.06496,1.08216,115124
EUR_USD,2015-03-22,1.0841,1.09714,1.07674,1.094575,131252
EUR_USD,2015-03-23,1.094655,1.10293,1.08904,1.09247,126332
EUR_USD,2015-03-24,1.09233,1.10146,1.09007,1.09697,100657
EUR_USD,2015-03-25,1.097075,1.10526,1.08564,1.08845,117969
EUR_USD,2015-03-26,1.08832,1.09488,1.08012,1.08907,112803
EUR_USD,2015-03-29,1.08868,1.08952,1.08099,1.083405,98247
