FX,Time,Open,High,Low,Close,Volume
GBP_USD,2015-01-01,1.55829,1.55873,1.53272,1.53278,19117
GBP_USD,2015-01-04,1.53045,1.53196,1.51639,1.525055,20386
GBP_USD,2015-01-05,1.525215,1.52739,1.51417,1.51517,19465
GBP_USD,2015-01-06,1.51517,1.51558,1.50548,1.51118,25531
GBP_USD,2015-01-07,1.51107,1.51176,1.50345,1.50903,16884
GBP_USD,2015-01-08,1.50868,1.51774,1.50774,1.51576,25269
GBP_USD,2015-01-11,1.51772,1.51939,1.5099,1.517065,15896
GBP_USD,2015-01-12,1.517065,1.51921,1.50776,1.51603,19726
GBP_USD,2015-01-13,1.51603,1.52696,1.51456,1.523415,23643
GBP_USD,2015-01-14,1.52361,1.52671,1.51498,1.51845,87200
GBP_USD,2015-01-15,1.51846,1.52348,1.5075,1.51449,43094
GBP_USD,2015-01-18,1.51316,1.51794,1.51084,1.51118,19533
GBP_USD,2015-01-19,1.51118,1.51998,1.50574,1.5144,16997
GBP_USD,2015-01-20,1.514195,1.518,1.50758,1.514355,28403
GBP_USD,2015-01-21,1.513935,1.5213,1.49726,1.50112,43660
GBP_USD,2015-01-22,1.50112,1.50363,1.49512,1.49896,41001
GBP_USD,2015-01-25,1.501325,1.51038,1.49876,1.50804,35096
GBP_USD,2015-01-26,1.50719,1.52236,1.50599,1.519755,28660
GBP_USD,2015-01-27,1.519755,1.52193,1.51312,1.51377,31327
GBP_USD,2015-01-28,1.51419,1.51626,1.50187,1.50675,21295
GBP_USD,2015-01-29,1.50675,1.50961,1.49895,1.5065,27453
GBP_USD,2015-02-01,1.509595,1.51028,1.5006,1.503845,25797
GBP_USD,2015-02-02,1.50421,1.51982,1.49888,1.5166,31935
GBP_USD,2015-02-03,1.516715,1.5251,1.5139,1.51818,26726
GBP_USD,2015-02-04,1.51794,1.53436,1.5167,1.532925,25585
GBP_USD,2015-02-05,1.53271,1.53522,1.52112,1.52427,24651
GBP_USD,2015-02-08,1.522855,1.52676,1.52008,1.521395,18776
GBP_USD,2015-02-09,1.521395,1.52756,1.51968,1.52542,17896
GBP_USD,2015-02-10,1.525295,1.52998,1.52192,1.52381,19377
GBP_USD,2015-02-11,1.52337,1.54152,1.52093,1.53847,31416
GBP_USD,2015-02-12,1.53846,1.54224,1.53712,1.53967,18572
GBP_USD,2015-02-15,1.54271,1.54406,1.53396,1.53627,31965
GBP_USD,2015-02-16,1.53648,1.54028,1.53163,1.535385,18550
GBP_USD,2015-02-17,1.534955,1.548,1.53419,1.543595,22779
GBP_USD,2015-02-18,1.543685,1.54653,1.5404,1.541425,17256
GBP_USD,2015-02-19,1.54129,1.5434,1.53435,1.53983,23904
GBP_USD,2015-02-22,1.539675,1.54748,1.53326,1.54573,15183
GBP_USD,2015-02-23,1.54573,1.54744,1.54024,1.545595,20102
GBP_USD,2015-02-24,1.545315,1.55388,1.54471,1.552815,15962
GBP_USD,2015-02-25,1.552815,1.55522,1.53946,1.54069,19825
GBP_USD,2015-02-26,1.54051,1.54588,1.53844,1.5437,19081
GBP_USD,2015-03-01,1.542245,1.54296,1.53518,1.53642,14372
GBP_USD,2015-03-02,1.53642,1.53976,1.53449,1.53618,11048
GBP_USD,2015-03-03,1.53609,1.53721,1.52522,1.526535,15757
GBP_USD,2015-03-04,1.52645,1.52698,1.52154,1.523965,28553
GBP_USD,2015-03-05,1.523965,1.52565,1.50324,1.50386,43222
GBP_USD,2015-03-08,1.5041,1.51374,1.50331,1.5128,29167
GBP_USD,2015-03-09,1.5128,1.5131,1.50288,1.506965,49723
GBP_USD,2015-03-10,1.506965,1.50966,1.48934,1.49302,61405
GBP_USD,2015-03-11,1.49343,1.50272,1.48504,1.48826,59271
GBP_USD,2015-03-12,1.48836,1.4897,1.46993,1.47444,54866
GBP_USD,2015-03-15,1.47456,1.48538,1.47332,1.482835,40162
GBP_USD,2015-03-16,1.482835,1.48458,1.47242,1.474865,40025
GBP_USD,2015-03-17,1.474685,1.5169,1.4635,1.497815,83978
GBP_USD,2015-03-18,1.497935,1.50102,1.46886,1.475265,106583
GBP_USD,2015-03-19,1.475265,1.49892,1.47222,1.49546,71720
GBP_USD,2015-03-22,1.497245,1.499,1.48388,1.495245,81015
GBP_USD,2015-03-23,1.49514,1.49848,1.4843,1.48501,74140
GBP_USD,2015-03-24,1.48512,1.49546,1.4831,1.488065,62060
GBP_USD,2015-03-25,1.487895,1.49944,1.48069,1.484945,67035
GBP_USD,2015-03-26,1.48501,1.49222,1.47968,1.48777,69932
GBP_USD,2015-03-29,1.48878,1.49014,1.47528,1.481135,51820
GBP_USD,2015-03-30,1.48033,1.48718,1.47558,1.481665,60041
GBP_USD,2015-03-31,1.48207,1.48716,1.47396,1.482315,63536
GBP_USD,2015-04-01,1.48244,1.48686,1.47765,1.48281,54630
GBP_USD,2015-04-02,1.482745,1.49454,1.48102,1.49183,38644
GBP_USD,2015-04-05,1.49171,1.49814,1.4871,1.488165,27973
GBP_USD,2015-04-06,1.48802,1.49207,1.48032,1.48075,53263
