FX,Time,Open,High,Low,Close,Volume
NZD_USD,2010-01-02,0.72325,0.72427,0.72239,0.72397,207
NZD_USD,2010-01-03,0.72393,0.73542,0.71962,0.73436,20487
NZD_USD,2010-01-04,0.73432,0.739,0.73164,0.73452,25331
NZD_USD,2010-01-05,0.73442,0.7386,0.73028,0.73777,21666
NZD_USD,2010-01-06,0.73785,0.74292,0.73144,0.73199,24051
NZD_USD,2010-01-07,0.73208,0.73808,0.7288,0.73667,21787
NZD_USD,2010-01-08,0.73667,0.73667,0.73667,0.73667,1
NZD_USD,2010-01-09,0.73667,0.74021,0.73634,0.73992,587
NZD_USD,2010-01-10,0.73986,0.74373,0.73826,0.74147,15680
NZD_USD,2010-01-11,0.74145,0.7432,0.73648,0.73851,23242
NZD_USD,2010-01-12,0.73855,0.74256,0.73714,0.74049,19333
NZD_USD,2010-01-13,0.74051,0.74426,0.73864,0.74267,18822
NZD_USD,2010-01-14,0.74282,0.74384,0.73604,0.7379,19719
NZD_USD,2010-01-16,0.73802,0.73802,0.73348,0.73371,473
NZD_USD,2010-01-17,0.73375,0.7403,0.73303,0.73892,11251
NZD_USD,2010-01-18,0.73886,0.74092,0.73346,0.73543,21027
NZD_USD,2010-01-19,0.73533,0.73568,0.7187,0.72171,31467
NZD_USD,2010-01-20,0.72177,0.72333,0.70968,0.71009,33486
NZD_USD,2010-01-21,0.71005,0.71776,0.70923,0.70974,22854
NZD_USD,2010-01-22,0.70971,0.70971,0.70971,0.70971,1
NZD_USD,2010-01-23,0.71,0.71247,0.70789,0.712,721
NZD_USD,2010-01-24,0.71205,0.71698,0.71134,0.71379,21561
NZD_USD,2010-01-25,0.71375,0.717,0.70232,0.70821,31817
NZD_USD,2010-01-26,0.70825,0.71066,0.70312,0.70646,29988
NZD_USD,2010-01-27,0.70648,0.71383,0.70378,0.70489,23743
NZD_USD,2010-01-28,0.70495,0.70896,0.70086,0.701,33075
NZD_USD,2010-01-29,0.70098,0.70098,0.70098,0.70098,2
NZD_USD,2010-01-30,0.70187,0.70349,0.69969,0.70037,802
NZD_USD,2010-01-31,0.70024,0.70955,0.69956,0.70848,25351
NZD_USD,2010-02-01,0.70843,0.71276,0.7037,0.71219,27493
NZD_USD,2010-02-02,0.71215,0.71518,0.7007,0.70252,24937
NZD_USD,2010-02-03,0.70255,0.70262,0.6844,0.68723,39106
NZD_USD,2010-02-04,0.68728,0.6933,0.68088,0.68947,39288
NZD_USD,2010-02-05,0.68947,0.68947,0.68947,0.68947,1
NZD_USD,2010-02-06,0.68956,0.69086,0.68809,0.68828,852
NZD_USD,2010-02-07,0.68831,0.69222,0.68266,0.68297,27139
NZD_USD,2010-02-08,0.68301,0.69674,0.68177,0.69622,35089
NZD_USD,2010-02-09,0.69625,0.697,0.6895,0.69273,28693
NZD_USD,2010-02-10,0.69245,0.70253,0.69182,0.69886,31372
NZD_USD,2010-02-11,0.69905,0.69947,0.69,0.69756,32374
NZD_USD,2010-02-13,0.69756,0.69756,0.6955,0.69591,362
NZD_USD,2010-02-14,0.696,0.699,0.69549,0.69658,11129
NZD_USD,2010-02-15,0.69655,0.70806,0.69652,0.70716,19404
NZD_USD,2010-02-16,0.7072,0.70794,0.70188,0.70384,19771
NZD_USD,2010-02-17,0.70387,0.7063,0.69665,0.69826,27023
NZD_USD,2010-02-18,0.69838,0.69974,0.69314,0.69947,33468
NZD_USD,2010-02-19,0.69954,0.69954,0.69954,0.69954,1
NZD_USD,2010-02-20,0.69914,0.70154,0.69881,0.70099,316
NZD_USD,2010-02-21,0.70104,0.7038,0.69932,0.70149,15686
NZD_USD,2010-02-22,0.70157,0.70586,0.68946,0.69209,30089
NZD_USD,2010-02-23,0.69215,0.69536,0.6872,0.69337,31300
NZD_USD,2010-02-24,0.6932,0.69462,0.6848,0.69179,34607
NZD_USD,2010-02-25,0.69173,0.70182,0.69048,0.69812,31985
NZD_USD,2010-02-27,0.69798,0.70108,0.69798,0.69892,491
NZD_USD,2010-02-28,0.69895,0.70176,0.69314,0.69966,28111
NZD_USD,2010-03-01,0.69962,0.70053,0.6924,0.69604,32234
NZD_USD,2010-03-02,0.69608,0.69866,0.6893,0.69449,31512
NZD_USD,2010-03-03,0.6948,0.69487,0.68522,0.68659,34041
NZD_USD,2010-03-04,0.68663,0.69774,0.68548,0.69689,22956
NZD_USD,2010-03-06,0.69696,0.69696,0.69409,0.69602,505
NZD_USD,2010-03-07,0.69644,0.7036,0.69639,0.70088,24121
NZD_USD,2010-03-08,0.7009,0.70358,0.69622,0.70279,25919
NZD_USD,2010-03-09,0.70268,0.70982,0.701,0.70208,29817
NZD_USD,2010-03-10,0.7022,0.70255,0.69644,0.70039,25898
NZD_USD,2010-03-11,0.70055,0.70502,0.6985,0.70176,19166
NZD_USD,2010-03-13,0.70165,0.7062,0.70165,0.70314,570
NZD_USD,2010-03-14,0.70305,0.70558,0.69877,0.70154,19679
NZD_USD,2010-03-15,0.7015,0.71041,0.70118,0.70989,23461
NZD_USD,2010-03-16,0.70982,0.71787,0.70962,0.7141,23631
NZD_USD,2010-03-17,0.71367,0.71743,0.71188,0.71459,23503
NZD_USD,2010-03-18,0.71445,0.71572,0.70656,0.70825,23960
NZD_USD,2010-03-19,0.7082,0.7082,0.7077,0.70779,3
NZD_USD,2010-03-20,0.7082,0.70892,0.70631,0.70698,220
NZD_USD,2010-03-21,0.70705,0.7073,0.70016,0.70639,20662
NZD_USD,2010-03-22,0.70647,0.708,0.70302,0.70747,20058
NZD_USD,2010-03-23,0.70715,0.70765,0.69943,0.70202,27112
NZD_USD,2010-03-24,0.70205,0.7102,0.70082,0.70357,27665
NZD_USD,2010-03-25,0.7036,0.70918,0.70154,0.70356,26350
NZD_USD,2010-03-26,0.70323,0.70323,0.70323,0.70323,1
NZD_USD,2010-03-27,0.70236,0.70637,0.70236,0.70553,322
NZD_USD,2010-03-28,0.70538,0.71179,0.7035,0.70952,18673
NZD_USD,2010-03-29,0.70957,0.71326,0.70829,0.71009,19571
NZD_USD,2010-03-30,0.71012,0.71162,0.7071,0.7106,22997
NZD_USD,2010-03-31,0.71057,0.71145,0.70352,0.70807,22447
NZD_USD,2010-04-01,0.70805,0.70844,0.7051,0.70598,4130
NZD_USD,2010-04-02,0.70601,0.7064,0.70601,0.7064,3
NZD_USD,2010-04-03,0.70575,0.70712,0.70575,0.70687,31
NZD_USD,2010-04-04,0.70699,0.7073,0.70206,0.70314,6718
NZD_USD,2010-04-05,0.70317,0.70744,0.69658,0.70665,21875
NZD_USD,2010-04-06,0.70658,0.70952,0.70274,0.70696,16792
NZD_USD,2010-04-07,0.70698,0.70756,0.70076,0.70721,15806
NZD_USD,2010-04-08,0.70715,0.71733,0.70666,0.71614,18725
NZD_USD,2010-04-09,0.7162,0.7162,0.7162,0.7162,1
NZD_USD,2010-04-10,0.71572,0.71947,0.7157,0.71883,689
NZD_USD,2010-04-11,0.71891,0.71944,0.71108,0.71224,17616
NZD_USD,2010-04-12,0.71198,0.7147,0.70968,0.71371,16326
NZD_USD,2010-04-13,0.71374,0.71538,0.70869,0.71455,19555
NZD_USD,2010-04-14,0.7146,0.71606,0.71038,0.71189,17700
NZD_USD,2010-04-15,0.71175,0.71566,0.70658,0.70838,25608
NZD_USD,2010-04-17,0.70937,0.70937,0.7072,0.70734,338
NZD_USD,2010-04-18,0.7075,0.71138,0.70536,0.71122,23868
NZD_USD,2010-04-19,0.71125,0.71446,0.70786,0.71166,22904
NZD_USD,2010-04-20,0.71173,0.71318,0.70754,0.70979,21883
NZD_USD,2010-04-21,0.70973,0.714,0.70704,0.71082,23983
NZD_USD,2010-04-22,0.71077,0.71781,0.70846,0.7173,27277
NZD_USD,2010-04-23,0.71705,0.71705,0.71665,0.71665,2
NZD_USD,2010-04-24,0.71615,0.71726,0.71583,0.71683,337
NZD_USD,2010-04-25,0.71674,0.72558,0.71636,0.72333,24250
NZD_USD,2010-04-26,0.7233,0.72359,0.70998,0.71138,26916
NZD_USD,2010-04-27,0.71174,0.72181,0.71034,0.72078,26135
NZD_USD,2010-04-28,0.72067,0.72436,0.7152,0.72365,22925
NZD_USD,2010-04-29,0.72372,0.7326,0.72334,0.72686,22694
NZD_USD,2010-05-01,0.7258,0.72775,0.72467,0.72754,378
NZD_USD,2010-05-02,0.72752,0.73238,0.72644,0.73081,16375
NZD_USD,2010-05-03,0.73077,0.73134,0.7189,0.72023,26142
NZD_USD,2010-05-04,0.72011,0.72194,0.71442,0.71725,26869
NZD_USD,2010-05-05,0.7172,0.72768,0.70111,0.71061,58796
NZD_USD,2010-05-06,0.71059,0.71685,0.70394,0.71439,64490
NZD_USD,2010-05-08,0.71439,0.7223,0.71439,0.72098,1042
NZD_USD,2010-05-09,0.72105,0.72971,0.7132,0.7227,35151
NZD_USD,2010-05-10,0.72257,0.72273,0.71595,0.71638,28418
NZD_USD,2010-05-11,0.71636,0.72,0.71054,0.71325,28540
NZD_USD,2010-05-12,0.71322,0.71936,0.71263,0.71489,22077
NZD_USD,2010-05-13,0.71513,0.7154,0.70616,0.7071,28121
NZD_USD,2010-05-15,0.7073,0.70847,0.70623,0.70663,360
NZD_USD,2010-05-16,0.70666,0.70781,0.69166,0.6969,36752
NZD_USD,2010-05-17,0.69683,0.70404,0.69218,0.69405,37383
NZD_USD,2010-05-18,0.69402,0.69413,0.66592,0.67777,62690
NZD_USD,2010-05-19,0.678,0.6877,0.66188,0.66612,64748
NZD_USD,2010-05-20,0.66593,0.6819,0.66411,0.67866,60404
NZD_USD,2010-05-22,0.67747,0.68006,0.67604,0.67726,255
NZD_USD,2010-05-23,0.67723,0.67887,0.66898,0.66911,30644
NZD_USD,2010-05-24,0.66915,0.67268,0.65618,0.67024,39375
NZD_USD,2010-05-25,0.67014,0.67441,0.66063,0.66297,39655
NZD_USD,2010-05-26,0.66339,0.68609,0.66254,0.68382,39353
NZD_USD,2010-05-27,0.68377,0.68637,0.67546,0.67899,29245
