FX,Time,Open,High,Low,Close,Volume
USD_CAD,2002-05-07,1.57005,1.57005,1.57005,1.57005,1
USD_CAD,2002-05-08,1.56525,1.56525,1.56525,1.56525,1
USD_CAD,2002-05-09,1.5585,1.5585,1.5585,1.5585,1
USD_CAD,2002-05-10,1.5585,1.5585,1.5585,1.5585,1
USD_CAD,2002-05-12,1.55395,1.55395,1.55395,1.55395,1
USD_CAD,2002-05-13,1.5582,1.5582,1.5582,1.5582,1
USD_CAD,2002-05-14,1.5573,1.5573,1.5573,1.5573,1
USD_CAD,2002-05-15,1.5547,1.5547,1.5547,1.5547,1
USD_CAD,2002-05-18,1.5465,1.5465,1.5465,1.5465,1
USD_CAD,2002-05-19,1.5427,1.5427,1.5427,1.5427,1
USD_CAD,2002-05-20,1.53725,1.53725,1.53725,1.53725,1
USD_CAD,2002-05-21,1.53185,1.53185,1.53185,1.53185,1
USD_CAD,2002-05-22,1.536,1.536,1.536,1.536,1
USD_CAD,2002-05-23,1.533,1.533,1.533,1.533,1
USD_CAD,2002-05-24,1.5329,1.5329,1.5329,1.5329,1
USD_CAD,2002-05-26,1.5334,1.5334,1.5334,1.5334,1
USD_CAD,2002-05-27,1.5307,1.5307,1.5307,1.5307,1
USD_CAD,2002-05-28,1.5349,1.5349,1.5349,1.5349,1
USD_CAD,2002-05-29,1.5347,1.5347,1.5347,1.5347,1
USD_CAD,2002-05-30,1.5282,1.5282,1.5282,1.5282,1
USD_CAD,2002-06-01,1.5368,1.5368,1.5368,1.5368,1
USD_CAD,2002-06-02,1.52715,1.52715,1.52715,1.52715,1
USD_CAD,2002-06-03,1.53165,1.53165,1.53165,1.53165,1
USD_CAD,2002-06-04,1.53175,1.53175,1.53175,1.53175,1
USD_CAD,2002-06-05,1.53325,1.53325,1.53325,1.53325,1
USD_CAD,2002-06-08,1.5329,1.5329,1.5329,1.5329,1
USD_CAD,2002-06-09,1.53945,1.53945,1.53945,1.53945,1
USD_CAD,2002-06-10,1.53595,1.53595,1.53595,1.53595,1
