FX,Time,Open,High,Low,Close,Volume
USD_CAD,2015-01-01,1.16105,1.17862,1.15999,1.178415,16558
USD_CAD,2015-01-04,1.17839,1.18434,1.17434,1.17602,21274
USD_CAD,2015-01-05,1.17625,1.18398,1.17304,1.183645,31010
USD_CAD,2015-01-06,1.183645,1.18744,1.18133,1.181485,36879
USD_CAD,2015-01-07,1.18191,1.18444,1.17968,1.183015,25373
USD_CAD,2015-01-08,1.183335,1.18904,1.18045,1.186545,34272
USD_CAD,2015-01-11,1.186315,1.19747,1.1836,1.197435,25340
USD_CAD,2015-01-12,1.197695,1.19936,1.19264,1.195805,29469
USD_CAD,2015-01-13,1.195445,1.20172,1.19292,1.194965,42458
USD_CAD,2015-01-14,1.194695,1.19966,1.18028,1.196015,95873
USD_CAD,2015-01-15,1.196295,1.20466,1.19516,1.19849,48015
USD_CAD,2015-01-18,1.19817,1.19858,1.19346,1.19406,23762
USD_CAD,2015-01-19,1.193865,1.21144,1.19386,1.211355,33026
USD_CAD,2015-01-20,1.211055,1.23942,1.2063,1.23405,52249
USD_CAD,2015-01-21,1.23423,1.24194,1.23136,1.238315,53032
USD_CAD,2015-01-22,1.238315,1.2461,1.23604,1.242115,49301
USD_CAD,2015-01-25,1.244555,1.24896,1.24049,1.247415,34637
USD_CAD,2015-01-26,1.247295,1.25008,1.23796,1.239805,41500
USD_CAD,2015-01-27,1.239805,1.25376,1.23884,1.25334,43677
USD_CAD,2015-01-28,1.253275,1.26776,1.25116,1.261885,41785
USD_CAD,2015-01-29,1.2622,1.27992,1.26082,1.27301,54492
USD_CAD,2015-02-01,1.27031,1.27727,1.25576,1.256715,53779
USD_CAD,2015-02-02,1.25714,1.26446,1.23518,1.2415,72874
USD_CAD,2015-02-03,1.24178,1.25928,1.23906,1.25774,59894
USD_CAD,2015-02-04,1.25714,1.25869,1.23938,1.24361,54669
USD_CAD,2015-02-05,1.243595,1.25465,1.23734,1.252355,54262
USD_CAD,2015-02-08,1.253735,1.25428,1.24284,1.24667,36905
USD_CAD,2015-02-09,1.24667,1.26241,1.24514,1.258815,40984
USD_CAD,2015-02-10,1.258815,1.2698,1.25721,1.263275,44373
USD_CAD,2015-02-11,1.26311,1.26456,1.24382,1.250945,56828
USD_CAD,2015-02-12,1.250975,1.2537,1.24223,1.245195,47403
USD_CAD,2015-02-15,1.24427,1.24906,1.24207,1.24649,36211
USD_CAD,2015-02-16,1.246465,1.2479,1.23628,1.238995,46386
USD_CAD,2015-02-17,1.239185,1.24662,1.23816,1.245395,43490
USD_CAD,2015-02-18,1.24538,1.25591,1.24372,1.249515,40317
USD_CAD,2015-02-19,1.24963,1.25646,1.24224,1.2534,49568
USD_CAD,2015-02-22,1.253015,1.26246,1.25238,1.257185,35646
USD_CAD,2015-02-23,1.257465,1.26639,1.24789,1.24904,51913
USD_CAD,2015-02-24,1.248735,1.24979,1.23994,1.24355,41604
USD_CAD,2015-02-25,1.243755,1.2535,1.23874,1.25142,51939
USD_CAD,2015-02-26,1.25194,1.25304,1.24488,1.25064,41273
USD_CAD,2015-03-01,1.250325,1.25661,1.24763,1.253765,27926
USD_CAD,2015-03-02,1.253705,1.25436,1.2433,1.249535,33186
USD_CAD,2015-03-03,1.249375,1.25436,1.2407,1.242375,39688
USD_CAD,2015-03-04,1.24283,1.25188,1.24065,1.24877,33809
USD_CAD,2015-03-05,1.24877,1.26271,1.24561,1.262345,39403
USD_CAD,2015-03-08,1.26208,1.26266,1.2573,1.26071,27105
USD_CAD,2015-03-09,1.260355,1.26884,1.25976,1.26874,49242
USD_CAD,2015-03-10,1.268625,1.27979,1.26646,1.27504,52924
USD_CAD,2015-03-11,1.27487,1.27686,1.2617,1.268665,51173
USD_CAD,2015-03-12,1.26891,1.28237,1.26816,1.278195,55584
USD_CAD,2015-03-15,1.279335,1.28187,1.27346,1.277455,42673
USD_CAD,2015-03-16,1.277405,1.27975,1.27492,1.27888,36635
USD_CAD,2015-03-17,1.2789,1.2835,1.24486,1.2566,68651
USD_CAD,2015-03-18,1.256655,1.27585,1.2508,1.271415,73838
