FX,Time,Open,High,Low,Close,Volume
USD_CHF,2010-01-02,1.0359,1.03753,1.03516,1.03699,720
USD_CHF,2010-01-03,1.03702,1.042,1.02629,1.02981,16210
USD_CHF,2010-01-04,1.02987,1.03613,1.02535,1.03351,15491
USD_CHF,2010-01-05,1.03355,1.038,1.02498,1.02765,15314
USD_CHF,2010-01-06,1.02761,1.03717,1.02428,1.03411,14060
USD_CHF,2010-01-07,1.03404,1.03853,1.02174,1.02395,16604
USD_CHF,2010-01-08,1.02419,1.02454,1.02419,1.02419,4
USD_CHF,2010-01-09,1.02464,1.02464,1.02127,1.02241,499
USD_CHF,2010-01-10,1.02237,1.02416,1.01314,1.01655,14938
USD_CHF,2010-01-11,1.01652,1.0209,1.01456,1.01859,14388
USD_CHF,2010-01-12,1.01863,1.02194,1.01384,1.01819,13894
USD_CHF,2010-01-13,1.01824,1.02349,1.01608,1.01869,14192
USD_CHF,2010-01-14,1.01877,1.0287,1.01804,1.02545,14024
USD_CHF,2010-01-15,1.02549,1.02549,1.02535,1.02535,2
USD_CHF,2010-01-16,1.02535,1.02874,1.02535,1.02772,578
USD_CHF,2010-01-17,1.02776,1.0292,1.02365,1.02482,7223
USD_CHF,2010-01-18,1.02474,1.03552,1.02284,1.03268,12764
USD_CHF,2010-01-19,1.03264,1.04626,1.03185,1.044,17186
USD_CHF,2010-01-20,1.04404,1.0496,1.04038,1.04274,19379
USD_CHF,2010-01-21,1.04269,1.04459,1.03754,1.04143,18746
USD_CHF,2010-01-22,1.04136,1.04175,1.04136,1.04175,3
USD_CHF,2010-01-23,1.0419,1.04281,1.03915,1.04022,846
USD_CHF,2010-01-24,1.04015,1.04242,1.03684,1.03973,12901
USD_CHF,2010-01-25,1.03966,1.04925,1.03792,1.04636,15333
USD_CHF,2010-01-26,1.04644,1.05254,1.04474,1.05016,17215
USD_CHF,2010-01-27,1.05011,1.05556,1.04769,1.05218,15849
USD_CHF,2010-01-28,1.05212,1.06432,1.04829,1.06079,20642
USD_CHF,2010-01-29,1.06083,1.06083,1.06083,1.06083,2
USD_CHF,2010-01-30,1.0611,1.06156,1.05988,1.060465,973
USD_CHF,2010-01-31,1.060405,1.06256,1.05544,1.05637,13181
USD_CHF,2010-02-01,1.0564,1.06074,1.05418,1.05494,13354
USD_CHF,2010-02-02,1.05476,1.06005,1.04981,1.05947,12738
USD_CHF,2010-02-03,1.05943,1.06758,1.05806,1.06691,15051
USD_CHF,2010-02-04,1.06697,1.07961,1.0647,1.07244,30230
USD_CHF,2010-02-05,1.07239,1.07239,1.07239,1.07239,2
USD_CHF,2010-02-06,1.07277,1.07542,1.07087,1.074755,895
USD_CHF,2010-02-07,1.074725,1.07735,1.06842,1.07342,15289
USD_CHF,2010-02-08,1.07338,1.07474,1.06094,1.06367,20236
USD_CHF,2010-02-09,1.06362,1.07208,1.0619,1.06765,19235
USD_CHF,2010-02-10,1.06768,1.07834,1.06274,1.07043,18876
USD_CHF,2010-02-11,1.0705,1.0828,1.07006,1.07546,20062
USD_CHF,2010-02-12,1.07565,1.07565,1.07557,1.07557,2
USD_CHF,2010-02-13,1.07657,1.07748,1.07577,1.07668,353
USD_CHF,2010-02-14,1.07663,1.0804,1.07543,1.07765,8504
USD_CHF,2010-02-15,1.07761,1.07896,1.06537,1.06601,13447
USD_CHF,2010-02-16,1.06609,1.08,1.06476,1.07837,14360
USD_CHF,2010-02-17,1.07846,1.08568,1.07492,1.083765,17286
USD_CHF,2010-02-18,1.083835,1.08984,1.07501,1.07562,20948
USD_CHF,2010-02-19,1.07566,1.07577,1.07566,1.07577,2
USD_CHF,2010-02-20,1.07567,1.07575,1.07391,1.07437,715
USD_CHF,2010-02-21,1.07444,1.0789,1.07398,1.07622,12596
USD_CHF,2010-02-22,1.07618,1.08482,1.07157,1.08396,18992
USD_CHF,2010-02-23,1.0839,1.08427,1.07381,1.08102,17857
USD_CHF,2010-02-24,1.08107,1.08794,1.07847,1.08012,18716
USD_CHF,2010-02-25,1.08015,1.08166,1.06948,1.07338,18391
USD_CHF,2010-02-26,1.07329,1.07341,1.07329,1.07341,3
USD_CHF,2010-02-27,1.07311,1.07406,1.0708,1.0739,964
USD_CHF,2010-02-28,1.07387,1.08711,1.07201,1.07932,20452
USD_CHF,2010-03-01,1.07922,1.08896,1.0744,1.07479,20191
USD_CHF,2010-03-02,1.07483,1.07636,1.06493,1.06791,21791
USD_CHF,2010-03-03,1.06779,1.07956,1.06696,1.0772,18762
USD_CHF,2010-03-04,1.07709,1.08102,1.07356,1.07407,15846
USD_CHF,2010-03-05,1.07403,1.07403,1.07403,1.07403,1
USD_CHF,2010-03-06,1.07393,1.07477,1.07282,1.07335,357
USD_CHF,2010-03-07,1.07331,1.07487,1.06758,1.07327,12988
USD_CHF,2010-03-08,1.07332,1.08047,1.07273,1.0751,15080
USD_CHF,2010-03-09,1.07517,1.07947,1.06862,1.06988,13790
USD_CHF,2010-03-10,1.06996,1.07316,1.06816,1.06835,13135
