FX,Time,Open,High,Low,Close,Volume
USD_JPY,2005-01-01,102.54,102.77,102.49,102.72,282
USD_JPY,2005-01-02,102.71,103.465,102.365,102.795,29242
USD_JPY,2005-01-03,102.795,104.805,102.445,104.565,39936
USD_JPY,2005-01-04,104.555,105.025,103.775,104.14,36408
USD_JPY,2005-01-05,104.14,105.185,103.88,105.015,35832
USD_JPY,2005-01-06,105.015,105.13,103.865,104.76,43544
USD_JPY,2005-01-08,104.81,104.88,104.76,104.8,193
USD_JPY,2005-01-09,104.795,104.84,104.09,104.35,28340
USD_JPY,2005-01-10,104.35,104.35,103.12,103.34,43286
USD_JPY,2005-01-11,103.34,103.56,102.14,102.4405,41584
USD_JPY,2005-01-12,102.4405,102.84,102.24,102.3835,43453
USD_JPY,2005-01-13,102.3835,103.205,101.784,102.04,48472
USD_JPY,2005-01-14,102.03,102.03,102.03,102.03,1
USD_JPY,2005-01-15,101.98,102.07,101.94,102,446
USD_JPY,2005-01-16,101.98,102.2,101.694,102.1235,18268
USD_JPY,2005-01-17,102.1335,102.998,102.124,102.2605,29486
USD_JPY,2005-01-18,102.2605,102.98,102.03,102.7605,30425
USD_JPY,2005-01-19,102.7605,103.604,102.5,103.4205,32460
USD_JPY,2005-01-20,103.4205,103.918,102.61,102.72,27653
USD_JPY,2005-01-21,102.73,102.73,102.71,102.72,10
USD_JPY,2005-01-22,102.71,102.83,102.69,102.78,267
USD_JPY,2005-01-23,102.79,103.024,102.542,102.6415,22969
USD_JPY,2005-01-24,102.6415,104.356,102.514,104.0765,30879
USD_JPY,2005-01-25,104.0765,104.136,102.774,103.0785,28205
USD_JPY,2005-01-26,103.0685,103.54,102.692,102.6925,29149
USD_JPY,2005-01-27,102.6925,103.786,102.38,103.28,21771
USD_JPY,2005-01-28,103.28,103.28,103.27,103.28,3
USD_JPY,2005-01-29,103.48,103.6,103.39,103.58,148
USD_JPY,2005-01-30,103.575,103.8,103.348,103.6885,23512
USD_JPY,2005-01-31,103.6885,104.08,103.498,103.6805,24900
USD_JPY,2005-02-01,103.6805,104.088,103.36,103.5935,26136
